key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue
b1991,blue streak,65000000.0,117758500.0,0.8116692307692308
b1993,blue valentine,1000000.0,12355734.0,11.355734
b2003,boat trip,20000000.0,15020293.0,-0.24898535
b2009,bobby jones: stroke of genius,20000000.0,2707913.0,-0.86460435
b2020,body of lies,70000000.0,115097286.0,0.6442469428571429
b2025,boiler room,7000000.0,28780255.0,3.111465
b2034,bolt,150000000.0,309979994.0,1.0665332933333334
b2042,bones,16000000.0,8378853.0,-0.4763216875
b2050,boo! a madea halloween,20000000.0,74827344.0,2.7413672
b2051,boogeyman,20000000.0,67192859.0,2.35964295
b2053,boogie nights,15000000.0,43101594.0,1.8734396
b2057,book of shadows: blair witch 2,15000000.0,47737094.0,2.1824729333333335
b2060,boomerang,42000000.0,131052444.0,2.1202962857142857
b2064,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,18000000.0,261572744.0,13.531819111111112
b2090,bounce,35000000.0,53425292.0,0.5264369142857143
b2095,bowfinger,55000000.0,98625775.0,0.7931959090909091
b2096,bowling for columbine,4000000.0,58008423.0,13.50210575
b2112,boyhood,4000000.0,44495281.0,10.12382025
b2120,boys and girls,35000000.0,25850615.0,-0.261411
b2131,bram stoker's dracula,40000000.0,215862692.0,4.3965673
b2138,brave,185000000.0,540437063.0,1.9212814216216216
b2139,braveheart,72000000.0,210409945.0,1.9223603472222222
b2154,breakin' all the rules,10000000.0,12544254.0,0.2544254
b2179,brick mansions,28000000.0,68896829.0,1.4606010357142858
b2181,bride wars,30000000.0,114663461.0,2.8221153666666665
b2182,bride and prejudice,7000000.0,24716440.0,2.53092
b2183,bride of chucky,25000000.0,50671850.0,1.026874
b2188,bridesmaids,32500000.0,288383523.0,7.8733391692307695
b2189,bridge of spies,40000000.0,165478348.0,3.1369587
b2191,bridget jones's baby,35000000.0,211952420.0,5.055783428571429
b2192,bridget jones's diary,25000000.0,281929795.0,10.2771918
b2193,bridget jones: the edge of reason,40000000.0,262520724.0,5.5630181
b2203,bright star,8500000.0,14350945.0,0.6883464705882353
b2206,brighton rock,12000000.0,1829020.0,-0.8475816666666667
b2208,bring it on,11000000.0,90449929.0,7.222720818181818
b2210,bringing down the house,33000000.0,164729679.0,3.9918084545454544
b2219,brokeback mountain,14000000.0,178062759.0,11.7187685
b2225,broken city,35000000.0,19701164.0,-0.4371096
