link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm	10 Days in a Madhouse	N/A	14616		11-Nov-15	1 hrs. 51 min.	Cafe Pictures	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10itemsorless.htm	10 Items or Less	N/A	83291		1-Dec-06	1 hrs. 22 min.	ThinkFilm	Comedy	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm	10 Questions for the Dalai Lama	N/A	224546		27-Apr-07	1 hrs. 29 min.	"Monterey Media, Inc."	Documentary	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10rules.htm	10 Rules for Sleeping Around	N/A			4-Apr-14	1 hrs. 34 min.	Screen Media	Comedy	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm	10 Things I Hate About You	$30 million	38178166		31-Mar-99	1 hrs. 37 min.	Buena Vista	Romantic Comedy	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10years.htm	10 Years	N/A	203373		14-Sep-12	1 hrs. 40 min.	Anchor Bay Films	Comedy / Drama	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10tomidnight.htm	10 to Midnight	N/A	7175592		11-Mar-83	1 hrs. 43 min.	MGM	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10000bc.htm	"10,000 B.C."	$105 million	94784201		7-Mar-08	1 hrs. 49 min.	Warner Bros.	Period Adventure	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=10000km.htm	"10,000 Km"	N/A	12423		10-Jul-15	1 hrs. 39 min.	Broad Green Pictures	Comedy / Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm	100 Bloody Acres	N/A	6388		28-Jun-13	N/A	Doppelganger Releasing	Horror Comedy	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1001grams.htm	1001 Grams	N/A	10983		8-May-15	1 hrs. 33 min.	Kino Lorber	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101dalmations.htm	101 Dalmatians	N/A	14000000	144880014	25-Jan-61	1 hrs. 19 min.	Disney	Animation	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101dalmatiansliveaction.htm	101 Dalmatians (1996)	N/A	136189294		27-Nov-96	1 hrs. 43 min.	Buena Vista	Family Comedy	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101dalmatians69.htm	101 Dalmatians (Re-issue) (1969)	N/A	18000000	144880014	1-Jan-69	1 hrs. 19 min.	Disney	Animation	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101dalmatians79.htm	101 Dalmatians (Re-issue) (1979)	N/A	19000000	144880014	1-Jan-79	1 hrs. 19 min.	Disney	Animation	G	No Academy Awards Information
