key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date
b1711,w3658,o2261,beverly hills cop iii,1994,50000000.0,119200000.0,1.3840000000000001,25-May-94
b1718,w3691,,beyond borders ,2003,35000000.0,11705002.0,-0.6655713714285715,24-Oct-03
b1735,w3721,o9918,beyond the lights,2014,7000000.0,14600000.0,1.0857142857142856,14-Nov-14
b1750,w3745,,bicentennial man ,1999,100000000.0,87400000.0,-0.126,17-Dec-99
b1765,w3819,o16205,big fat liar,2002,15000000.0,53000000.0,2.533333333333333,8-Feb-02
b1766,w3822,o9644,big fish,2003,70000000.0,122900000.0,0.7557142857142857,10-Dec-03
b1775,w3862,o3312,big miracle,2012,40000000.0,24700000.0,-0.3825,3-Feb-12
b1776,w3863,o10582,big momma's house,2000,30000000.0,173959438.0,4.798647933333333,2-Jun-00
b1777,w3864,o20236,big momma's house 2,2006,40000000.0,138300000.0,2.4575,27-Jan-06
b1778,w3865,o2465,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0,1.621875,18-Feb-11
b1795,w3959,o9645,biker boyz,31-Jan,24000000.0,23510601.0,-0.020391625,31-Jan-03
b1809,w4012,o20630,billy madison,1995,10000000.0,26400000.0,1.64,10-Feb-95
b1822,w4060,,birdman ,2014,16518000.0,103200000.0,5.24772974936433,17-Oct-14
b1849,w4176,,black hawk down ,2001,92000000.0,271000000.0,1.9456521739130437,28-Dec-01
b1852,w4190,,black knight ,2001,50000000.0,40000000.0,-0.2,21-Nov-01
b1854,w4203,,black mass ,2015,53000000.0,100000000.0,0.8867924528301887,18-Sep-15
b1856,w4206,,black nativity ,2013,17500000.0,7454185.0,-0.5740465714285714,27-Nov-13
b1871,w4249,,black swan ,2010,13000000.0,329400000.0,24.338461538461537,3-Dec-10
b1881,w4282,,blackhat ,2015,70000000.0,19700000.0,-0.7185714285714285,16-Jan-15
b1881,w4282,,blackhat ,2015,70000000.0,19700000.0,-0.7185714285714285,16-Jan-15
b1887,w4303,o16206,blade ii,2002,54000000.0,155000000.0,1.8703703703703705,22-Mar-02
b1893,w4307,o21974,blade: trinity,2004,65000000.0,128900000.0,0.9830769230769232,8-Dec-04
b1894,w4309,o3670,blades of glory,2007,61000000.0,145700000.0,1.3885245901639345,30-Mar-07
b1903,w4323,,blast from the past ,1999,35000000.0,40263020.0,0.150372,12-Feb-99
b1911,w4350,,blended ,2014,40000000.0,128000000.0,2.2,23-May-14
b1913,w4353,o10583,bless the child,2000,65000000.0,40443010.0,-0.37779984615384615,11-Aug-00
b1934,w4470,o20240,blood diamond,2006,101000000.0,171400000.0,0.6970297029702971,8-Dec-06
b1968,w4572,,blow ,2001,53000000.0,83300000.0,0.5716981132075472,6-Apr-01
b1968,w4572,,blow ,2001,53000000.0,83300000.0,0.5716981132075472,6-Apr-01
b1979,w4596,o16209,blue crush,16-Aug,25000000.0,51843679.0,1.07374716,16-Aug-02
b1991,w4644,,blue streak ,1999,36000000.0,117700000.0,2.2694444444444444,17-Sep-99
b1993,w4649,,blue valentine ,2010,1000000.0,16600000.000000002,15.6,29-Dec-10
b1994,w4652,,blue velvet ,1986,6000000.0,8600000.0,0.43333333333333335,19-Sep-86
b2009,w4699,o21976,bobby jones: stroke of genius,2004,20000000.0,2707913.0,-0.86460435,30-Apr-04
b2019,w4716,,body of evidence (1993 film),1993,30000000.0,13200000.0,-0.56,15-Jan-93
b2020,w4717,,body of lies ,2008,70000000.0,115100000.0,0.6442857142857142,10-Oct-08
b2025,w4738,,boiler room ,2000,7000000.0,28780255.0,3.111465,18-Feb-00
b2050,w4815,o5334,boo! a madea halloween,2016,20000000.0,74800000.0,2.74,21-Oct-16
b2053,w4829,o6377,boogie nights,1997,15000000.0,43100000.0,1.8733333333333333,10-Oct-97
b2057,w4843,o10586,book of shadows: blair witch 2,2000,15000000.0,47700000.0,2.18,27-Oct-00
b2087,w4992,o5078,bottle rocket,1996,7000000.0,560069.0,-0.9199901428571428,21-Feb-96
b2090,w5006,,bounce ,2000,35000000.0,53425292.0,0.5264369142857143,17-Nov-00
b2095,w5040,o2039,bowfinger,1999,55000000.0,98600000.0,0.7927272727272727,13-Aug-99
b2096,w5044,o16211,bowling for columbine,2002,4000000.0,58000000.0,13.5,11-Oct-02
b2112,w5100,,boyhood ,2014,4000000.0,44500000.0,10.125,11-Jul-14
