index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
502,,w2259,,atlas shrugged (film series),,35000000.0,8800000.0,-0.7485714285714286,,,,,,,,,"""[Jim Flynn, Sherril Schlesinger, John Gilbert, Tony Ciccone]""",[The Strike Productions (],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,b1247,w2260,,atlas shrugged part iii: who is john galt?,2014,5000000.0,851690.0,-0.8296620000000001,2014-09-12 00:00:00,9.0,3.0,255.0,36.0,0.0,99.0,3.0,[Tony Ciccone],,,,,Atlas Distribution,[Elia Cmiral],[Gale Tattersall],"""[Harmon Kaslow, John Aglialoro]""",,0.0,[''],[''],[''],['Atlas Distribution'],['Elia Cmiral'],['Gale Tattersall'],"['Harmon Kaslow', 'John Aglialoro']",0.0,0.0,0.0,-0.74802835,0.30778588180383376,116202.8727418924,-1.5097919666666666
504,b1248,w2262,o2450,atlas shrugged: part i,2011,20000000.0,4627375.0,-0.76863125,2011-04-15 00:00:00,4.0,2.0,105.0,15.0,0.0,102.0,3.0,"""[Jim Flynn, Sherril Schlesinger]""",[The Strike Productions],"""['June Squibb', 'Taylor Schilling']""",Paul Johansson,,Rocky Mountain Pictures,[Elia Cmiral],[Ross Berryman],"""[John Aglialoro, Harmon Kaslow]""",,0.0,"['June Squibb', 'Taylor Schilling']",['Paul Johansson'],[''],['Rocky Mountain Pictures'],['Elia Cmiral'],['Ross Berryman'],"['John Aglialoro', 'Harmon Kaslow']",8.277160894308944,-0.76863125,0.0,-0.29775923163265305,0.30778588180383376,-0.717512975,-1.5097919666666666
505,b1249,w2261,,atlas shrugged: part ii,2012,10000000.0,3336053.0,-0.6663946999999999,2012-10-12 00:00:00,10.0,4.0,286.0,41.0,1.0,112.0,3.0,[John Gilbert],[Either Or Productions],,,,Atlas Distribution,"""[Chris P. Bacon, Ash Brown, Gregg Benedict]""",[Ross Berryman],"""[Harmon Kaslow, John Aglialoro, Jeff Freilich]""",,0.0,[''],[''],[''],['Atlas Distribution'],"['Chris P. Bacon', 'Ash Brown', 'Gregg Benedict']",['Ross Berryman'],"['Harmon Kaslow', 'John Aglialoro', 'Jeff Freilich']",0.0,0.0,0.0,-0.74802835,-1.9991840999999997,-0.717512975,-2.1761866666666663
506,,w2263,,atm (2012 film),,3000000.0,1000000.0,-0.6666666666666666,,,,,,,,,[David Brooks],"""[Gold Circle Films, Buffalo Gal Pictures, The Safran Company]""",,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,,w2278,,attack (1956 film),,810000.0,2000000.0,1.469135802469136,,,,,,,,,[Michael Luciano],[The Associates & Aldrich Company],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,b1252,w2282,o575,attack of the 50 foot woman,1958,89000.0,480000.0,4.393258426966292,2058-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,66.0,6.0,[Edward Mann],,"""['Allison Hayes', 'William Hudson', 'Yvette Vickers']""",['Nathan Juran'],['Mark Hanna'],Allied Artists,['Ronald Stein'],['Jacques R. Marquette'],['Bernard Woolner'],,0.0,"['Allison Hayes', 'William Hudson', 'Yvette Vickers']",['Nathan Juran'],['Mark Hanna'],['Allied Artists'],['Ronald Stein'],['Jacques R. Marquette'],['Bernard Woolner'],13.179775280898877,4.393258426966292,4.393258426966292,2.622240532667499,4.393258426966292,4.393258426966292,4.393258426966292
509,,w2285,o11862,attack of the crab monsters,1957,70000.0,1000000.0,13.285714285714285,2057-02-10 00:00:00,2.0,1.0,41.0,5.0,0.0,62.0,,[Charles Gross],[Allied Artists],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,,w2289,o7013,attack of the killer tomatoes,1978,100000.0,567000.0,4.67,1978-10-08 00:00:00,10.0,4.0,281.0,41.0,1.0,87.0,2.0,[John De Bello],,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,,w2318,,august (2008 film),,3400000.0,12636.0,-0.9962835294117648,,,,,,,,,[Pete Beaudreau],"""[Original Media, Periscope Entertainment]""",,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
