index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
4702,b12062,w37330,,tammy ,2014,20000000.0,100500000.0,4.025,2014-07-02 00:00:00,7.0,3.0,183.0,26.0,1.0,96.0,4.0,[Michael L  Sale],,"""['Melissa McCarthy', 'Susan Sarandon', 'Kathy Bates', 'Dan Aykroyd', 'Mark Duplass', 'Gary Cole', 'Nat Faxon', 'Toni Collette', 'Allison Janney', 'Ben Falcone*']""",['Ben Falcone'],"""['Ben Falcone', 'Melissa McCarthy']""",Warner Bros. (New Line),[Michael Andrews],[Russ T. Alsobrook],"""['Ben Falcone ', 'Will Ferrell', 'Melissa McCarthy', 'Adam McKay']"""
4703,b12064,w37335,,tangerine ,2015,100000.0,794202.0,6.942019999999999,2015-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,88.0,4.0,[Sean Baker],,,,,Magnolia,,"""[Sean Baker, Radium Cheung]""","""['Jay Duplass', 'Mark Duplass']"""
4704,b12064,w37335,,tangerine ,2015,100000.0,794202.0,6.942019999999999,2015-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,88.0,4.0,[Sean Baker],,,,,Magnolia,,"""[Sean Baker, Radium Cheung]""","""['Jay Duplass', 'Mark Duplass']"""
4705,b12065,w37335,,tangerine ,2015,100000.0,794202.0,6.942019999999999,2015-04-17 00:00:00,4.0,2.0,107.0,15.0,0.0,88.0,6.0,[Sean Baker],,,,,Samuel Goldwyn,,"""[Sean Baker, Radium Cheung]""","""[Sean Baker, Karrie Cox, Marcus Cox, Darren Dean, Shih-Ching Tsou]"""
4706,b12065,w37335,,tangerine ,2015,100000.0,794202.0,6.942019999999999,2015-04-17 00:00:00,4.0,2.0,107.0,15.0,0.0,88.0,6.0,[Sean Baker],,,,,Samuel Goldwyn,,"""[Sean Baker, Radium Cheung]""","""[Sean Baker, Karrie Cox, Marcus Cox, Darren Dean, Shih-Ching Tsou]"""
4707,b12066,w37338,o8158,tangled,2010,260000000.0,591800000.0,1.2761538461538462,2010-11-24 00:00:00,11.0,4.0,328.0,47.0,1.0,100.0,2.0,[Tim Mertens],"""[Walt Disney Pictures, Walt Disney Animation Studios]""","""['Mandy Moore', 'Zachary Levi', 'Donna Murphy ', 'Ron Perlman', 'Jeffrey Tambor ', 'Brad Garrett ']""","""['Nathan Greno', 'Byron Howard']""",['Dan Fogelman'],Buena Vista,['Alan Menken'],,"""['Roy Conli', 'John Lasseter', 'Amy Scribner']"""
4708,b12068,w37348,o15936,tango & cash,1989,55000000.0,63400000.0,0.15272727272727274,1989-12-22 00:00:00,12.0,4.0,356.0,51.0,1.0,101.0,4.0,"""[Stuart Baird, Hubert C. de la Bouillerie, Robert A. Ferretti]""",[The Guber-Peters Company],"""['Kurt Russell', 'Sylvester Stallone']""",Andrey Konchalovskiy|Albert Magnoli,,Warner Bros.,[Harold Faltermeyer],[Donald E. Thorin],"""['Larry J. Franco', 'Jon Peters']"""
4709,b12070,w37355,,tank girl ,1995,25000000.0,6000000.0,-0.76,1995-03-31 00:00:00,3.0,1.0,90.0,13.0,0.0,104.0,4.0,[James R. Symons],[Trilogy Entertainment Group],['Naomi Watts'],,,MGM,['Graeme Revell'],[Gale Tattersall],"""[Richard B. Lewis, Pen Densham, John Watson]"""
4710,,w37361,o15458,tap roots,1948,2118688.0,3293658.0,0.5545743403464786,2048-08-25 00:00:00,8.0,3.0,238.0,34.0,0.0,109.0,,[Milton Carruth],"""[Walter Wanger Productions, George Marshall Productions]""",,,,,,,
4711,b12076,w37362,,tape ,2001,100000.0,515900.0,4.159,2001-11-02 00:00:00,11.0,4.0,306.0,43.0,0.0,86.0,4.0,[Sandra Adair],[Tape Productions],"""['Ethan Hawke', 'Uma Thurman']""",['Richard Linklater'],,Lions Gate,,[Maryse Alberti],['John Sloss']
