key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b1107,w1823,o13485,antz,1998,105000000.0,171757863.0,0.6357891714285714,1998,2-Oct-98
b1111,w1827,o2027,any given sunday,1999,55000000.0,100230832.0,0.8223787636363636,1999,22-Dec-99
b1114,w1842,o9627,anything else,2003,18000000.0,13585075.0,-0.2452736111111111,2003,19-Sep-03
b1116,w1851,,anywhere but here ,1999,23000000.0,23631929.0,0.02747517391304348,"""[1999, 11, 12]""",12-Nov-99
b1125,w1885,o20213,apocalypto,2006,40000000.0,120654337.0,2.016358425,2006,8-Dec-06
b1129,w1894,,appaloosa ,2008,20000000.0,27665851.0,0.38329255,"""[2008, 09, 19]""",19-Sep-08
b1143,w1930,o3652,aqua teen hunger force colon movie film for theaters,2007,750000.0,5520368.0,6.360490666666666,2007,13-Apr-07
b1145,w1932,,aquamarine ,2006,12000000.0,23006849.0,0.9172374166666668,"""[2006, United States]""",3-Mar-06
b1161,w1974,,are we there yet? ,2005,32000000.0,97918663.0,2.05995821875,"""[2005, 01, 21]""",21-Jan-05
b1171,w2027,o2028,arlington road,9-Jul,31000000.0,41067311.0,0.3247519677419355,9-Jul,9-Jul-99
b1176,w2034,,armored ,2009,20000000.0,22942221.0,0.14711105,"""[2009, 12]""",4-Dec-09
b1184,w2050,,around the world in 80 days (2004 film),2004,110000000.0,72178895.0,-0.3438282272727273,"""[2004, 13, Los Angeles, California, 2004, 16, United States]""",16-Jun-04
b1186,w2061,,arrival ,2016,47000000.0,198024964.0,3.2132971063829787,"""[2016, 09, 01, Venice Film Festival, 2016, 11, 11, United States]""",11-Nov-16
b1197,w2097,,arthur (2011 film),2011,40000000.0,45735397.0,0.143384925,[2011],8-Apr-11
b1201,w2099,o20216,arthur and the invisibles,2006,86000000.0,107944236.0,0.25516553488372096,2006,29-Dec-06
b1208,w2126,o6370,as good as it gets,1997,50000000.0,314178011.0,5.28356022,1997,23-Dec-97
b1224,w2163,,assassin's creed ,2016,125000000.0,240742399.0,0.9259391920000001,"""[2016, 12, 13, New York City, 2016, 12, 21, United States]""",21-Dec-16
b1229,w2170,,assassins ,1995,50000000.0,30303072.0,-0.39393856,"""[1995, 10, 06, United States, 1995, 11, 01, France]""",6-Oct-95
b1230,w2178,,assault on precinct 13 (2005 film),2005,30000000.0,35294470.0,0.17648233333333332,"""[2005, 19, (United, States), 2005, (France)]""",19-Jan-05
b1235,w2194,,astro boy ,2009,65000000.0,39886986.0,-0.3863540615384615,"""[2009, 10, 08, Hong Kong, 2009, 10, 23, United States]""",23-Oct-09
b1241,w2216,,at first sight (1999 film),1999,60000000.0,22365133.0,-0.6272477833333333,"""[1999, 01, 15]""",15-Jan-99
b1248,w2262,o2450,atlas shrugged: part i,2011,20000000.0,4627375.0,-0.76863125,2011,15-Apr-11
b1272,w2341,o16191,austin powers in goldmember,2002,63000000.0,296655431.0,3.7088163650793655,2002,26-Jul-02
b1273,w2339,o6371,austin powers: international man of mystery,1997,16500000.0,67683989.0,3.1020599393939388,1997,2-May-97
b1274,w2340,o2029,austin powers: the spy who shagged me,1999,33000000.0,312016858.0,8.455056303030304,1999,11-Jun-99
