key_bom,genre_cluster,bom_genre
b5904,5.0,Comedy
b5908,5.0,Comedy
b5909,5.0,Comedy
b5917,3.0,Animation
b5918,3.0,Animation
b5932,6.0,Thriller
b5933,6.0,Horror
b5941,,Drama / Thriller
b5944,,Horror
b5946,6.0,Horror
b5956,2.0,Comedy / Drama
b5959,5.0,Comedy
b5966,2.0,Romance
b5968,,Family Comedy
b5971,5.0,Romantic Comedy
b5976,,Romance
b5983,,Comedy
b5993,,Animation
b5994,0.0,Animation
b5998,,Sci-Fi Comedy
b6009,,Action / Adventure
b6032,,Drama
b6040,2.0,Music Drama
b6054,,Sci-Fi Horror
b6057,,Sci-Fi Adventure
b6066,,Period Drama
b6073,5.0,Comedy
b6075,2.0,Adventure
b6081,5.0,Comedy
b6090,,Comedy
b6095,,Comedy
b6099,5.0,Comedy
b6109,,Horror
b6111,,Action Comedy
b6115,2.0,Romantic Comedy
b6153,,Action Horror
b6155,,Sci-Fi Thriller
b6160,,Animation
b6161,5.0,Animation
b6162,5.0,Animation
b6163,,Animation
b6164,,Animation
b6172,,Thriller
b6173,5.0,Comedy
b6179,,Drama
b6190,2.0,Comedy
b6191,,Animation
b6214,,Fantasy Comedy
b6223,,Fantasy Drama
b6224,,Sci-Fi Thriller
b6265,,Sci-Fi Thriller
b6267,,Foreign
b6279,,Drama
b6285,2.0,Action Thriller
b6307,,Horror
b6309,,Foreign
b6310,0.0,Sci-Fi Action
b6316,,Sci-Fi Action
b6318,0.0,Sci-Fi Adventure
b6322,0.0,Period Adventure
b6323,0.0,Period Adventure
b6333,,Thriller
b6337,2.0,War
b6343,,Fantasy
b6353,,Documentary
b6355,2.0,Crime Thriller
b6357,,Animation
b6364,,Thriller
b6368,,Family Adventure
b6374,,Crime Comedy
b6380,,Sci-Fi Adventure
b6384,,Period Horror
b6392,,Thriller
b6402,,Musical
b6413,,Drama
b6431,,Action / Adventure
b6432,0.0,Action / Adventure
b6433,0.0,Action / Adventure
b6454,5.0,Comedy / Drama
b6472,,Comedy
b6475,,Romantic Comedy
b6477,,Drama
b6494,2.0,Drama
b6505,,Crime Drama
b6506,0.0,Crime Drama
b6507,2.0,Action Thriller
b6509,,Comedy
b6513,0.0,Adventure
b6514,5.0,Comedy
b6515,,Comedy
b6516,,Comedy
b6554,,War Drama
b6556,,Action
b6558,,Sci-Fi Horror
b6569,5.0,Comedy
b6579,,Horror
b6580,,Horror
b6587,,Musical
b6589,6.0,Horror Comedy
b6595,2.0,Comedy / Drama
b6596,,Musical
b6597,,Comedy / Drama
b6622,0.0,Animation
b6628,5.0,Family Comedy
b6634,,Drama
b6642,2.0,Comedy
b6645,2.0,Comedy
b6651,,Sci-Fi Horror
b6653,,Sci-Fi Adventure
b6655,2.0,Drama / Thriller
b6657,5.0,Comedy
b6658,0.0,Action
b6664,,Comedy
b6665,,Action Comedy
b6670,5.0,Comedy
b6674,,Western
b6675,,Animation
b6684,,Comedy
b6685,,Adventure
b6687,,Historical Drama
b6690,,Adventure
b6691,,Drama / Thriller
b6695,,Comedy / Drama
b6696,,Thriller
b6705,,Action / Adventure
b6710,5.0,Comedy
b6717,2.0,Comedy / Drama
b6722,0.0,Family Adventure
b6725,,Fantasy
b6728,2.0,Comedy
b6733,2.0,Romance
b6734,,Sci-Fi Comedy
b6736,0.0,Sci-Fi
b6740,0.0,Sci-Fi Horror
b6750,5.0,Romantic Comedy
b6751,,Romantic Comedy
b6753,5.0,Romantic Comedy
b6758,,Fantasy Comedy
b6768,4.0,Documentary
b6771,2.0,Action Thriller
b6773,,Drama
b6784,,Foreign
b6810,0.0,Family Comedy
b6825,4.0,Documentary
b6828,,Drama
b6829,,Comedy
b6838,,Comedy
b6840,2.0,Romantic Comedy
b6870,,Action Comedy
b6871,,Action Comedy
b6892,,Action
b6893,,Action
b6908,,Action Thriller
b6912,,Action Comedy
b6917,6.0,Crime Thriller
b6925,,Period Adventure
b6931,,Period Adventure
b6949,,Comedy / Drama
b6950,,Historical Epic
b6959,0.0,Action / Adventure
b6962,,Period Drama
b6969,5.0,Action Comedy
b6975,,Action
b6982,2.0,Romantic Comedy
b6984,2.0,Family
b6994,,Comedy
b7002,5.0,Romantic Comedy
b7006,,Drama / Thriller
b7013,0.0,Action / Adventure
b7021,,Horror Comedy
b7026,,Foreign
b7031,,Animation
b7040,,Foreign / Action
b7043,0.0,Animation
b7044,,Animation
b7046,,Action Comedy
b7122,,Foreign
b7125,,Drama
b7145,2.0,Fantasy Drama
b7157,,Horror Comedy
b7160,2.0,Drama / Thriller
b7173,,Adventure Comedy
b7180,0.0,Action / Adventure
b7181,0.0,Action / Adventure
b7186,2.0,Romantic Comedy
b7188,2.0,Comedy
b7193,0.0,Action Comedy
b7206,,Comedy / Drama
b7208,,Period Action
b7221,5.0,Comedy
b7236,,Thriller
b7245,,Romantic Comedy
b7274,,Romantic Comedy
b7281,2.0,Sports Comedy
b7283,,Crime Comedy
b7290,,Drama
b7292,,Thriller
b7296,5.0,Comedy
b7297,,Comedy
b7300,0.0,Animation
b7304,0.0,Animation
b7306,,Horror Thriller
b7311,,Family Adventure
b7336,,Musical
b7337,,Unknown
b7346,,Horror
b7352,5.0,Action Comedy
b7360,,Action Comedy
b7361,0.0,Action Comedy
b7363,2.0,War
b7364,,Drama
b7365,2.0,Romance
b7389,,Sci-Fi Thriller
b7391,,Comedy / Drama
b7400,,Comedy
b7401,2.0,Drama
b7406,,Adventure
b7414,,Romantic Comedy
b7430,5.0,Family Comedy
b7441,,Animation
b7446,,Action Thriller
b7447,,Historical Drama
b7452,,Action
b7454,2.0,War Drama
b7468,2.0,Romantic Comedy
b7473,,Drama
b7478,5.0,Comedy
b7483,,Comedy
b7492,5.0,Comedy
b7510,0.0,Action
b7520,,Comedy / Drama
b7535,,Sci-Fi Action
b7537,,Action / Adventure
b7549,2.0,Action
b7555,2.0,Action Drama
b7584,0.0,Family Adventure
b7585,,Sci-Fi Action
b7590,2.0,Crime
b7591,2.0,Sports Drama
b7600,,Romantic Comedy
b7612,,Horror
b7622,,Sci-Fi Adventure
b7634,2.0,Sports Drama
b7639,,Drama
b7641,,Romantic Comedy
b7653,2.0,Romance
b7684,2.0,Comedy / Drama
b7699,5.0,Comedy
b7741,5.0,Crime Comedy
b7753,,Foreign
b7755,,Historical Drama
b7765,,Sci-Fi Comedy
b7776,,Comedy
b7780,,Action / Adventure
b7782,0.0,Action
b7794,0.0,Sci-Fi Action
b7800,,Animation
b7802,0.0,Animation
b7818,5.0,Comedy
b7827,4.0,Documentary
b7837,2.0,Comedy / Drama
b7846,,Drama
b7850,2.0,Romantic Comedy
b7880,,Fantasy
b7882,,Horror
b7883,5.0,Comedy
b7887,,Horror
b7904,,Action / Adventure
b7910,,Action Drama
b7913,0.0,Thriller
b7916,,Comedy / Drama
b7929,,Drama
b7959,5.0,Comedy
b7962,,Drama
b7964,,Thriller
b7971,,Period Drama
b7984,,Family Comedy
b7989,,Crime Comedy
b7993,0.0,Animation
b8001,,Action / Adventure
b8012,,Period Horror
b8027,0.0,War
b8039,,Thriller
b8053,,Family
b8055,5.0,Family Comedy
b8056,,Action / Crime
b8075,0.0,Action / Adventure
b8084,,Romance
b8089,,Drama
b8092,2.0,Drama
b8094,,Comedy
b8097,5.0,Comedy
b8112,1.0,Western
b8115,5.0,Sci-Fi Comedy
b8116,2.0,Fantasy Drama
b8124,5.0,Comedy
b8127,5.0,Comedy
b8136,5.0,Animation
b8144,,Thriller
b8145,,Period Drama
b8160,,Sci-Fi Comedy
b8161,0.0,Sci-Fi Comedy
b8162,2.0,Period Drama
b8188,,Romance
b8190,0.0,Drama
b8209,,Action / Crime
b8219,5.0,Romantic Comedy
b8221,,Comedy
b8226,,Comedy
b8241,5.0,Romantic Comedy
b8250,5.0,Comedy
b8256,,Drama
b8263,2.0,Sports Drama
b8264,2.0,Sports Drama
b8274,,Crime Comedy
b8277,,Sci-Fi Thriller
b8280,,War Drama
b8284,,Drama
b8287,,Fantasy
b8297,,Action Comedy
b8307,,Fantasy
b8319,0.0,Sci-Fi Adventure
b8321,,Action
b8322,0.0,Action
b8323,0.0,Action
b8325,,Action
b8326,0.0,Action
b8358,,Action / Adventure
b8369,5.0,Comedy
b8372,2.0,Period Drama
b8377,2.0,Drama / Thriller
b8381,,Sports Drama
b8382,,Foreign
b8392,5.0,Fantasy Comedy
b8401,,Drama / Thriller
b8404,,Family Adventure
b8409,5.0,Comedy
