bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
0.0,0.0,,0.0,,o9936,w7585,closer to the moon,5000000.0,5396.0,closer to the moon,,2014.0,2014,5000000.0,5396.0
0.0,0.0,,0.0,,o16376,w13068,the first $20 million is always the hardest,17000000.0,5491.0,the first $20 million is always the hardest,,2002.0,28-Jun,17000000.0,5491.0
0.0,0.0,,0.0,,o12897,w26054,multiple maniacs,5000.0,33036.0,multiple maniacs,,1970.0,1970,5000.0,33036.0
0.0,0.0,,0.0,,o20387,w22347,little big top,,7072.0,little big top,,2006.0,21-Oct,,7072.0
0.0,0.0,,0.0,,o15970,w41904,wicked stepmother,2500000.0,43749.0,wicked stepmother,,1989.0,3-Feb,2500000.0,43749.0
0.0,0.0,,0.0,,o6374,w3547,best men,4000000.0,5000.0,best men,,1997.0,1997,4000000.0,5000.0
0.0,0.0,,0.0,,o2482,w6577,catch .44,7000000.0,1887.0,catch .44,,2011.0,2011,7000000.0,1887.0
0.0,0.0,,0.0,,o13015,w7102,chimmie fadden,,78944.49,chimmie fadden,,1915.0,1915,,78944.49
0.0,0.0,,0.0,,o8471,w39180,the transformers: the movie,6.0,5.8,the transformers: the movie,,1986.0,1986,6.0,5.8
0.0,0.0,,0.0,,o2196,w39999,the underground comedy movie,500000.0,856.0,the underground comedy movie,,1999.0,1999,500000.0,856.0
0.0,0.0,,0.0,,o13528,w10439,divine trash,10000.0,39842.0,divine trash,,1998.0,1998,10000.0,39842.0
0.0,0.0,,0.0,,o102,w17465,his private secretary,9000.0,95000.0,his private secretary,,1933.0,1933,9000.0,95000.0
0.0,0.0,,0.0,,o6550,w3022,battle of blood island,51579.31,28828.12,battle of blood island,,1960.0,1960,51579.31,28828.12
0.0,0.0,,0.0,,o22593,w28174,one way passage,350000.0,1.1,one way passage,,1932.0,1932,350000.0,1.1
0.0,0.0,,0.0,,o19059,w11435,ed and his dead mother,1800000.0,673.0,ed and his dead mother,,1993.0,1993,1800000.0,673.0
0.0,0.0,,0.0,,o13503,w5503,broken vessels,600000.0,13493.0,broken vessels,,1998.0,18-Apr,600000.0,13493.0
0.0,0.0,,0.0,,o12229,w32322,rose of the rancho,16988.0,87028.0,rose of the rancho,,1914.0,1914,16988.0,87028.0
0.0,0.0,,0.0,,o3524,w36858,supercapitalist,500000.0,15919.0,supercapitalist,,2012.0,2012,500000.0,15919.0
0.0,0.0,,0.0,,o2059,w11178,duck! the carbine high massacre,3000.0,6034.0,duck! the carbine high massacre,,1999.0,1999,3000.0,6034.0
0.0,0.0,,0.0,,o1227,w5904,the butler,30000000.0,176.6,the butler,,2013.0,2013,30000000.0,176.6
0.0,0.0,,0.0,,o19652,w10596,doin' their bit,28306.0,24651.0,doin' their bit,,1942.0,1942,28306.0,24651.0
0.0,0.0,,0.0,,o5385,w18507,i am wrath,18000000.0,6784.0,i am wrath,,2016.0,2016,18000000.0,6784.0
0.0,0.0,,0.0,b4762,,w13918,,33000000.0,70958.0,freaks of nature ,2015.0,,2015,33000000.0,70958.0
0.0,0.0,,0.0,b3136,,w8576,,2500000.0,5101.0,crimewave,1986.0,,1986,2500000.0,5101.0
0.0,0.0,,0.0,b3745,,w10750,,290000.0,1.3,donnie darko: the director's cut,2004.0,,2004,290000.0,1.3
0.0,0.0,,0.0,b6339,,w19275,,10000000.0,55089.0,inhale ,2010.0,,2010,10000000.0,55089.0
0.0,0.0,,0.0,b14690,,w35570,,1000000.0,13276.0,the specials ,2000.0,,2000,1000000.0,13276.0
0.0,0.0,,0.0,b4641,o3373,w13492,foodfight!,45000000.0,73706.0,foodfight!,0.0,2012.0,2012,45000000.0,73706.0
0.0,0.0,,0.0,b9727,,w29658,,7500000.0,264.0,playback ,2012.0,,2012,7500000.0,264.0
0.0,0.0,,0.0,b6104,o16594,w18637,i sell the dead,450000.0,8050.0,i sell the dead,2009.0,2008.0,2008,450000.0,8050.0
0.0,0.0,,0.0,b13013,o2711,w13845,the fp,45000.0,40557.0,the fp,2012.0,2011.0,2011,45000.0,40557.0
0.0,0.0,,0.0,b5279,o20326,w15608,gray matters,2000000.0,59000.0,gray matters,2007.0,2006.0,2006,2000000.0,59000.0
0.0,0.0,,0.0,b16413,o21793,w41695,white dog,7000000.0,46509.0,white dog,1982.0,1982.0,1982,7000000.0,46509.0
0.0,0.0,,0.0,b7172,o20377,w21372,land of the blind,18000000.0,15180.0,land of the blind,2006.0,2006.0,2006,18000000.0,15180.0
0.0,0.0,,0.0,b7726,o16635,w23286,lower learning,2000000.0,2804.0,lower learning,2008.0,2008.0,10-Oct,2000000.0,2804.0
0.0,0.0,,0.0,b16033,o10191,w40529,video games: the movie,109025.0,23043.0,video games: the movie,2014.0,2014.0,15-Jul,109025.0,23043.0
0.0,0.0,,0.0,b13671,o1252,w21466,the last days on mars,10600000.0,24084.0,the last days on mars,2013.0,2013.0,2013,10600000.0,24084.0
0.0,0.0,,0.0,b460,,w31510,,5000000.0,10730.0,a resurrection ,2013.0,,2013,5000000.0,10730.0
0.0,0.0,,0.0,b16693,o5519,w42868,yoga hosers,5000000.0,38784.0,yoga hosers,2016.0,2016.0,2016,5000000.0,38784.0
0.0,0.0,,0.0,b5359,o20679,w15964,gumby: the movie,2800000.0,57100.0,gumby: the movie,1995.0,1995.0,4-Oct,2800000.0,57100.0
0.0,0.0,,0.0,b1959,,w4534,,4000000.0,43671.0,bloodhounds of broadway (1989 film),1989.0,,1989,4000000.0,43671.0
0.0,0.0,,0.0,b5638,o1090,w16875,hell baby,2500000.0,8785.0,hell baby,2013.0,2013.0,2013,2500000.0,8785.0
0.0,0.0,,0.0,b13680,,w21483,,650000.0,3558.0,the last film festival,2016.0,,30-Sep-16,650000.0,3558.0
0.0,0.0,,0.0,b3931,o18672,w11335,earth days,1200000.0,23179.0,earth days,2009.0,2009.0,2009,1200000.0,23179.0
0.0,0.0,,0.0,b13183,o3549,w14784,the giant mechanical man,900000.0,7396.0,the giant mechanical man,2012.0,2012.0,2012,900000.0,7396.0
