key_bom	key_wiki	key_omdb	bom_title	wiki_title	omdb_title	year_bom_format	year_wiki_format	year_omdb_format	wiki_budget	wiki_gross	bom_budget	bom_domestic_gross	bom_worldwide_revenue
b6099	w18621	o3798	i now pronounce you chuck and larry	i now pronounce you chuck & larry	i now pronounce you chuck & larry	2007	2007	2007	[$85 million]	[$186.1 million]	$85 million	120059556	"""$186,072,214 """
b6111	w18648		i spy	i spy 		2002	2002		[$70 million]	[$50.7â$60.3 million]	$70 million	33561137	"""$50,732,945 """
b6115	w18661	o3799	i think i love my wife	i think i love my wife	i think i love my wife	2007	2007	2007	[$11 million]	"""[$13,196,245]"""	$11 million	12550605	"""$13,196,245 """
b6128	w18722		i'll be home for christmas	i'll be home for christmas (1998 film)		1998	1998		[$30 million]	[$12.2 million]	$30 million	12214338	
b6130	w18730	o2305	i'll do anything	i'll do anything	i'll do anything	1994	1994	1994	[$40 million]	"""[$10,209,111]"""	$40 million	10424645	
b6153	w18709	o9994	"""i, frankenstein"""	"""i, frankenstein"""	"""i, frankenstein"""	2014	2014	2014	[$65 million]	[$71.2 million]	$65 million	19075290	"""$71,154,592 """
b6155	w18712		"""i, robot"""	"""i, robot """		2004	2004		[$120 million]	[$347.2 million]	$120 million	144801023	"""$347,234,916 """
b6161	w18788	o5389	ice age: collision course	ice age: collision course	ice age: collision course	2016	2016	2016	[$105 million]	[$408.6 million]	$105 million	64063008	"""$408,579,038 """
b6162	w18789	o3412	ice age: continental drift	ice age: continental drift	ice age: continental drift	2012	2012	2012	[$95 million]	[$877 million]	$95 million	161321843	"""$877,244,782 """
b6172	w18830		identity	identity 		2003	2003		[$28 million]	[$90.2 million]	$28 million	52159536	"""$90,259,536 """
b6173	w18833	o1108	identity thief	identity thief	identity thief	2013	2013	2013	[$35 million]	[$174 million]	$35 million	134506920	"""$173,965,010 """
b6175	w18841	o2082	idle hands	idle hands	idle hands	1999	1999	1999	[$25 million]	[$4.2 million]	$25 million	4152230	
b6179	w18863		if i stay	if i stay 		2014	2014		[$11 million]	[$78.9 million]	$11 million	50474843	"""$78,874,843 """
b6190	w18891	o16265	igby goes down	igby goes down	igby goes down	2002	2002	2002	[$9 million]	"""[$6,919,198]"""	$9 million	4777465	"""$6,919,198 """
b6191	w18894		igor	igor 		2008	2008		[$25 million]	[$30.7 million]	$25 million	19528602	"""$30,747,504 """
b6214	w18928		imagine that	imagine that 		2009	2009		[$55 million]	[$23 million]	$55 million	16123323	"""$22,985,194 """
b6224	w18968		impostor	impostor 		2002	2002		[$40 million]	"""[$8,145,549]"""	$30 million	6285176	"""$8,145,549 """
b6228	w18986		in &amp; out	in & out 		1997	1997		[$35 million]	"""[$63,856,929]"""	$35 million	63856929	
b6273	w19072	o20027	in the bedroom	in the bedroom	in the bedroom	2001	2001	2001	[$1.7 million]	[$43.4 million]	$1.7 million	35930604	"""$43,368,779 """
b6279	w19103		in the heart of the sea	in the heart of the sea 		2015	2015		[$100 million]	[$93.9 million]	$100 million	25020758	"""$93,920,758 """
b6285	w19115	o19079	in the line of fire	in the line of fire	in the line of fire	1993	1993	1993	[$40 million]	[$177 million]	$40 million	102314823	"""$176,997,168 """
b6291	w19121		in the mouth of madness	in the mouth of madness		1995	1995		[$8 million]	[$8.9 million (domestic)]	$8 million	8924549	
b6307	w19169		incarnate	incarnate 		2016	2016		[$5 million]	[$8.9 million]	$5 million	4799774	"""$6,341,855 """
b6310	w19172	o8033	inception	inception	inception	2010	2010	2010	[$160 million]	[$825.5 million]	$160 million	292576195	"""$825,532,764 """
b6316	w19209		independence day	independence day (1996 film)		1996	1996		[$75 million]	[$817.4 million]	$75 million	306169268	"""$817,400,891 """
b6318	w19210	o5392	independence day: resurgence	independence day: resurgence	independence day: resurgence	2016	2016	2016	[$165 million]	[$389.7 million]	$165 million	103144286	"""$389,681,935 """
b6322	w19225	o16599	indiana jones and the kingdom of the crystal skull	indiana jones and the kingdom of the crystal skull	indiana jones and the kingdom of the crystal skull	2008	2008	2008	[$185 million]	[$786.6 million]	$185 million	317101119	"""$786,636,033 """
b6323	w19226	o15887	indiana jones and the last crusade	indiana jones and the last crusade	indiana jones and the last crusade	1989	1989	1989	[$55.4 million]	[$474.2 million]	$48 million	197171806	"""$474,171,806 """
b6324	w19227	o3180	indiana jones and the temple of doom	indiana jones and the temple of doom	indiana jones and the temple of doom	1984	1984	1984	[$28.2 million]	[$333.1 million]	$28 million	179870271	"""$333,107,271 """
b6337	w19270	o18733	inglourious basterds	inglourious basterds	inglourious basterds	2009	2009	2009	[$70 million]	[$321.5 million]	$70 million	120540719	"""$321,455,689 """
b6352	w19327	o18295	inside deep throat	inside deep throat	inside deep throat	2005	2005	2005	[$2 million]	"""[$709,832]"""	$2 million	691880	
b6355	w19335	o20355	inside man	inside man	inside man	2006	2006	2006	[$45 million]	[$184.4 million]	$45 million	88513495	"""$184,376,254 """
b6360	w19355	o1117	insidious chapter 2	insidious: chapter 2	insidious: chapter 2	2013	2013	2013	[$5 million]	[$161.9 million]	$5 million	83586447	"""$161,919,318 """
b6361	w19356	o8893	insidious chapter 3	insidious: chapter 3	insidious: chapter 3	2015	2015	2015	[$10 million]	[$113 million]	$10 million	52218558	"""$112,983,889 """
b6368	w19361		inspector gadget	inspector gadget 		1999	1999		[$90 million]	[$134.4 million]	$90 million	97403112	"""$134,403,112 """
b6369	w19367		instinct	instinct 		1999	1999		[$80 million]	"""[$34,105,207]"""	$80 million	34105207	
b6373	w19382	o7044	interiors	interiors	interiors	1978	1978	1978	[$10 million]	"""[$10,432,366]"""	$10 million	10432366	
b6380	w19409		interstellar	interstellar 		2014	2014		[$165 million]	[$675.1 million]	$165 million	188020017	"""$675,120,017 """
b6384	w19413		interview with the vampire	interview with the vampire 		1994	1994		[$60 million]	[$223.7 million]	$60 million	105264608	"""$223,664,608 """
b6392	w19435		into the storm	into the storm (2014 film)		2014	2014		[$50 million]	[$161.7 million]	$50 million	47602194	"""$161,702,194 """
b6402	w19440		into the woods	into the woods 		2014	2014		[$50 million]	[$213.1 million]	$50 million	128002372	"""$213,116,401 """
b6413	w19475		invictus	invictus 		2009	2009		[$50â60 million]	[$122.2 million]	$60 million	37491364	"""$122,233,971 """
b6432	w19557	o8035	iron man 2	iron man 2	iron man 2	2010	2010	2010	[$200 million]	[$623.9 million]	$200 million	312433331	"""$623,933,331 """
b6433	w19558	o1119	iron man 3	iron man 3	iron man 3	2013	2013	2013	[$200 million (gross)]	[$1.215 billion]	$200 million	409013994	"""$1,214,811,252 """
b6447	w19592		ishtar	ishtar 		1987	1987		[$51 million]	"""[$14,375,181]"""	$55 million	14375181	
b6454	w19635	o10645	isn't she great	isn't she great	isn't she great	2000	2000	2000	[$44 million]	"""[$3,003,296]"""	$44 million	2962465	"""$3,003,296 """
b6464	w19677	o5738	it happened one night	it happened one night	it happened one night	1934	1934	1934	"""[$325,000]"""	"""[$2,500,000]"""	"""$325,000 """		
b6475	w19736		it's complicated	it's complicated 		2009	2009		[$85 million]	[$219.1 million]	$85 million	112735375	"""$219,103,655 """
b6477	w19745		it's kind of a funny story	it's kind of a funny story 		2010	2010		[$8 million]	[$6.5 million]	$8 million	6363628	"""$6,491,240 """
b6483	w19718	o7367	"""it's a mad, mad, mad, mad world"""	"""it's a mad, mad, mad, mad world"""	it's a mad mad mad mad world	1963	1963	1963	[$9.4 million]	[$60 million]	$9.4 million	46332858	
b6494	w19784	o2570	j. edgar	j. edgar	j. edgar	2011	2011	2011	[$35 million]	[$84.6 million]	$35 million	37306030	"""$84,606,030 """
b6505	w19810		jack reacher	jack reacher 		2012	2012		[$60 million]	[$218.3 million]	$60 million	80070736	"""$218,340,595 """
b6506	w19811	o5396	jack reacher: never go back	jack reacher: never go back	jack reacher: never go back	2016	2016	2016	[$60 million]	[$161.5 million]	$60 million	58697076	"""$162,146,076 """
b6507	w19815	o9999	jack ryan: shadow recruit	jack ryan: shadow recruit	jack ryan: shadow recruit	2014	2014	2014	[$60 million]	[$135.5 million]	$60 million	50577412	"""$135,511,030 """
b6513	w19821	o1121	jack the giant slayer	jack the giant slayer	jack the giant slayer	2013	2013	2013	[$185â200 million]	[$197.7 million]	$195 million	65187603	"""$197,687,603 """
b6514	w19831	o8036	jackass 3-d	jackass 3d	jackass 3d	2010	2010	2010	[$20 million]	[$171.7 million]	$20 million	117229692	"""$171,685,792 """
b6515	w19833		jackass presents: bad grandpa	jackass presents: bad grandpa		2013	2013		[$15 million]	[$151.8 million]	$15 million	102003019	"""$151,831,537 """
b6517	w19835	o16268	jackass: the movie	jackass: the movie	jackass: the movie	2002	2002	2002	[$5 million]	[$79.4 million]	$5 million	64255312	"""$79,493,831 """
b6520	w19841	o6445	jackie brown	jackie brown	jackie brown	1997	1997	1997	[$12 million]	[$74.7 million]	$12 million	39673162	
b6551	w19913		janky promoters	janky promoters		2009	2009		[$10 million]	[$9069.00]	$10 million	9069	
b6554	w19920		jarhead	jarhead 		2005	2005		[$72 million]	[$96.9 million]	$72 million	62658220	"""$96,889,998 """
b6556	w19927		jason bourne	jason bourne 		2016	2016		[$120 million]	[$415.5 million]	$120 million	162434410	"""$415,484,914 """
b6563	w19936		jawbreaker	jawbreaker 		1999	1999		[$3.5 million]	"""[$3,117,085]"""	$3.5 million	3117085	
b6564	w19937		jaws	jaws 		1975	1975		[$9 million]	[$470.7 million]	$7 million	260000000	"""$470,653,000 """
b6569	w19942	o20031	jay and silent bob strike back	jay and silent bob strike back	jay and silent bob strike back	2001	2001	2001	[$22 million]	[$33.8 million]	$22 million	30085147	"""$33,788,161 """
b6579	w19969		jeepers creepers	jeepers creepers (2001 film)		2001	2001		[$10 million]	[$59.2 million]	$10 million	37904175	"""$59,217,789 """
b6580	w19972		jeepers creepers 2	jeepers creepers 2		2003	2003		[$17 million]	[$63.1 million]	$17 million	35667218	"""$63,102,666 """
b6587	w19980		jem and the holograms	jem and the holograms 		2015	2015		[$5 million]	[$2.3 million]	$5 million	2184640	"""$2,333,684 """
b6589	w19988	o18737	jennifer's body	jennifer's body	jennifer's body	2009	2009	2009	[$16 million]	[$31.6 million]	$16 million	16204793	"""$31,556,061 """
b6595	w20006	o5127	jerry maguire	jerry maguire	jerry maguire	1996	1996	1996	[$50 million]	[$273.6 million]	$50 million	153952592	"""$273,552,592 """
b6596	w20010		jersey boys	jersey boys 		2014	2014		[$58.6 million (gross)]	[$67.7 million]	$40 million	47047013	"""$67,669,013 """
b6621	w20083	o2310	jimmy hollywood	jimmy hollywood	jimmy hollywood	1994	1994	1994	[$30 million]	"""[$3,783,003]"""	$30 million	3783003	
b6622	w20084	o20033	jimmy neutron: boy genius	jimmy neutron: boy genius	jimmy neutron: boy genius	2001	2001	2001	[$30 million]	[$103 million]	$30 million	80936232	"""$102,992,536 """
b6628	w20090	o5129	jingle all the way	jingle all the way	jingle all the way	1996	1996	1996	[$75 million]	[$129.8 million]	$60 million	60592389	"""$129,832,389 """
b6634	w20115		jobs	jobs 		2013	2013		[$12 million]	[$35.9 million]	$12 million	16131410	"""$35,931,410 """
b6642	w20125	o20034	joe dirt	joe dirt	joe dirt	2001	2001	2001	[$17.7 million]	[$31 million]	$17.7 million	27087695	"""$30,987,695 """
b6645	w20137	o20035	joe somebody	joe somebody	joe somebody	2001	2001	2001	[$38 million]	"""[$24,516,772]"""	$38 million	22771646	"""$24,516,772 """
b6653	w20149		john carter	john carter 		2012	2012		[$250â306.6 million ($263.7 million after tax credit)]	[$284.1 million]	$250 million	73078100	"""$284,139,100 """
b6655	w20159	o16272	john q.	john q.	john q	2002	2002	2002	[$36 million]	"""[$102,244,770]"""	$36 million	71756802	"""$102,244,770 """
b6657	w20161	o20365	john tucker must die	john tucker must die	john tucker must die	2006	2006	2006	[$18 million]	"""[$68,824,526]"""	$18 million	41011711	"""$68,824,526 """
b6658	w20162	o10006	john wick	john wick	john wick	2014	2014	2014	[$20 million]	[$88.8 million]	$20 million	43037835	"""$88,761,661 """
b6670	w20201	o22049	johnson family vacation	johnson family vacation	johnson family vacation	2004	2004	2004	[$12 million]	[$31.5 million]	$12 million	31203964	"""$31,462,753 """
b6674	w20213		jonah hex	jonah hex 		2010	2010		[$47 million]	[$10.9 million]	$47 million	10547117	"""$10,903,312 """
b6684	w20238		josie and the pussycats	josie and the pussycats 		2001	2001		[$39 million]	[$14.9 million]	$39 million	14271015	"""$14,866,015 """
b6695	w20275		joy	joy 		2015	2015		[$60 million]	[$101.1 million]	$60 million	56451232	"""$101,134,059 """
b6705	w20307		judge dredd	judge dredd 		1995	1995		[$90 million]	[$113.5 million]	$90 million	34693481	"""$113,493,481 """
b6710	w20324	o2575	judy moody and the not bummer summer	judy moody and the not bummer summer	judy moody and the not bummer summer	2011	2011	2011	[$20 million]	[$17 million]	$20 million	15013650	"""$15,691,640 """
b6717	w20341	o18743	julie &amp; julia	julie & julia	julie & julia	2009	2009	2009	[$40 million]	[$129.5 million]	$40 million	94125426	"""$129,540,499 """
b6722	w20349	o20696	jumanji	jumanji	jumanji	1995	1995	1995	[$65 million]	[$262.8 million]	$65 million	100475249	"""$262,797,249 """
b6728	w20358	o2577	jumping the broom	jumping the broom	jumping the broom	2011	2011	2011	[$6.6 million]	"""[$37,710,610]"""	$6.6 million	37295394	"""$37,710,610 """
b6733	w20380	o13766	jungle fever	jungle fever	jungle fever	1991	1991	1991	[$14 million]	[$43.9 million]	$14 million	32482682	"""$43,882,682 """
b6735	w20416		juno	juno 		2007	2007		[$6.5]	[$231.4 million]	$7.5 million	143495265	"""$231,411,584 """
b6736	w20417	o8902	jupiter ascending	jupiter ascending	jupiter ascending	2015	2015	2015	[$176 million]	[$184]	$176 million	47387723	"""$183,987,723 """
b6738	w20419		jurassic park	jurassic park 		1993	1993		[$63 million]	[$1.029 billion]	$63 million	357067947	"""$1,029,153,882 """
b6740	w20420	o20037	jurassic park iii	jurassic park iii	jurassic park iii	2001	2001	2001	[$93 million]	[$368.8 million]	$93 million	181171875	"""$368,780,809 """
b6741	w20421	o8903	jurassic world	jurassic world	jurassic world	2015	2015	2015	[$150 million]	[$1.670 billion]	$150 million	652270625	"""$1,670,400,637 """
b6750	w20451	o2578	just go with it	just go with it	just go with it	2011	2011	2011	[$80 million]	[$215 million]	$80 million	103028109	"""$214,945,591 """
b6751	w20458		just like heaven	just like heaven 		2005	2005		[$58 million]	"""[$102,854,431]"""	$58 million	48318130	"""$102,854,431 """
b6753	w20462	o9730	just married	just married	just married	2003	2003	2003	[$18]	[$101.5 million]	$18 million	56127162	"""$101,564,935 """
b6758	w20480		just visiting	just visiting 		2001	2001		[$35 million]	[$16.2 million]	$35 million	4781539	"""$16,176,732 """
b6763	w20478	o2089	just the ticket	just the ticket	just the ticket	1999	1999	1999	"""[$12,000,000]"""	"""[$430,404]"""	$12 million	430404	
b6768	w20498	o2579	justin bieber: never say never	justin bieber: never say never	justin bieber: never say never	2011	2011	2011	[$13 million]	"""[$99,036,827]"""	$13 million	73013910	"""$99,036,827 """
b6771	w20510	o16274	k-19: the widowmaker	k-19: the widowmaker	k-19: the widowmaker	2002	2002	2002	[$100 million]	[$65.7 million]	$100 million	35168966	"""$65,716,126 """
b6773	w20513		k-pax	k-pax 		2001	2001		[$68 million]	"""[$65,001,485]"""	$68 million	50338485	"""$65,001,485 """
b6810	w20527	o9731	kangaroo jack	kangaroo jack	kangaroo jack	2003	2003	2003	[$60 million]	[$88.9 million]	$60 million	66934963	"""$88,929,111 """
b6825	w20569	o3421	katy perry: part of me	katy perry: part of me	katy perry: part of me	2012	2012	2012	[$13 million]	"""[$32,726,956]"""	$12 million	25326071	"""$32,726,956 """
b6838	w20596		keeping up with the joneses	keeping up with the joneses 		2016	2016		[$40 million]	[$29.8 million]	$40 million	14904426	"""$29,918,745 """
b6840	w20595	o10649	keeping the faith	keeping the faith	keeping the faith	2000	2000	2000	[$29 million]	[$59.9 million]	$29 million	37047880	"""$59,945,183 """
b6850	w20626	o5399	kevin hart: what now?	kevin hart: what now?	kevin hart: what now?	2016	2016	2016	[$9.9 million]	[$23.6 million]	$9.9 million	23591043	
b6871	w20649		kick-ass 2	kick-ass 2 		2013	2013		[$28 million]	[$60.7 million]	$28 million	28795985	"""$60,795,985 """
b6892	w20729		kill bill vol. 1	kill bill: volume 1		2003	2003		[$30 million]	[$180.9 million]	$30 million	70099045	"""$180,949,045 """
b6893	w20730		kill bill vol. 2	kill bill: volume 2		2004	2004		[$30 million]	[$152.2 million]	$30 million	66208183	"""$152,159,461 """
b6896	w20734	o15891	kill me again	kill me again	kill me again	1989	1989	1989	[$4 million]	"""[$283,694]"""	$4 million	283694	
b6917	w20817	o3424	killing them softly	killing them softly	killing them softly	2012	2012	2012	[$15 million]	[$37.9 million]	$15 million	15026056	"""$37,930,465 """
b6918	w20821		killing zoe	killing zoe		1994	1994		[$1.5 million]	[$1.3 million]	$1.5 million	418961	
b6923	w20838	o15031	kindergarten cop	kindergarten cop	kindergarten cop	1990	1990	1990	[$15 million]	[$202 million]	$15 million	91457688	"""$201,957,688 """
b6933	w20865		king kong (1976)	king kong (1976 film)		1976	1976		[$24 million]	[$90.6 million]	$24 million	52614445	
b6959	w20954	o10013	kingsman: the secret service	kingsman: the secret service	kingsman: the secret service	2015	2014	2014	[$94 million (gross)]	[$414.4 million]	$81 million	128261724	"""$414,351,546 """
b6962	w20958		kinsey	kinsey 		2004	2004		[$11 million]	[$16.9 million]	$11 million	10254979	"""$16,918,723 """
b6969	w20981	o18306	"""kiss kiss, bang bang"""	kiss kiss bang bang	kiss kiss bang bang	2005	2005	2005	[$15 million]	[$15.8 million]	$15 million	4243756	"""$15,785,148 """
b6979	w21006		kiss the girls	kiss the girls (1997 film)		1997	1997		[$27 million]	[$60.5 million]	$27 million	60527873	
b6982	w21022	o20041	kissing jessica stein	kissing jessica stein	kissing jessica stein	2002	2001	2001	[$1 million]	[$10 million]	"""$1,000,000 """	7025722	"""$10,013,424 """
b6984	w21027	o16614	kit kittredge: an american girl	kit kittredge: an american girl	kit kittredge: an american girl	2008	2008	2008	[$10 million]	"""[$17,657,973]"""	$10 million	17657973	"""$17,657,973 """
b7002	w21080	o3816	knocked up	knocked up	knocked up	2007	2007	2007	[$30 million]	[$219.1 million]	$30 million	148768917	"""$219,076,518 """
b7006	w21091		knowing	knowing 		2009	2009		[$50]	[$187.9 million]	$50 million	79957634	"""$183,593,586 """
b7013	w21103	o5273	kong: skull island	kong: skull island	kong: skull island	2017	2017	2017	[$185 million]	[$554.4 million]	$185 million	162182914	"""$554,382,914 """
b7021	w21120		krampus	krampus 		2015	2015		[$15 million]	[$61.5 million]	$15 million	42725475	"""$61,548,707 """
b7039	w21140	o6452	kundun	kundun	kundun	1997	1997	1997	[$28]	[$5.7]	$28 million	5684789	
b7043	w21143	o16615	kung fu panda	kung fu panda	kung fu panda	2008	2008	2008	[$130 million]	[$631.7 million]	$130 million	215434591	"""$631,744,560 """
b7046	w21149		kung pow! enter the fist	kung pow! enter the fist		2002	2002		[$10 million]	[$17 million]	$10 million	16037962	"""$16,994,625 """
b7098	w21168		la la land	la la land 		2016	2016		[$30 million]	[$439.1 million]	$30 million	150941072	"""$439,080,388 """
b7145	w21260	o20376	lady in the water	lady in the water	lady in the water	2006	2006	2006	[$70 million]	[$72.8 million]	$70 million	42285169	"""$72,785,169 """
b7157	w21326		lake placid	lake placid 		1999	1999		[$27 million]	"""[$56,870,414]"""	$35 million	31770414	"""$56,870,414 """
b7160	w21334	o16620	lakeview terrace	lakeview terrace	lakeview terrace	2008	2008	2008	[$20 million]	"""[$44,653,637]"""	$20 million	39263506	"""$44,653,637 """
b7173	w21375		land of the lost	land of the lost 		2009	2009		[$100 million]	[$68.8 million]	$100 million	49438370	"""$68,777,554 """
b7180	w21395	o9736	lara croft tomb raider: the cradle of life	lara croft tomb raider: the cradle of life	lara croft tomb raider: the cradle of life	2003	2003	2003	[$95 million]	[$156.5 million]	$95 million	65660196	"""$156,505,388 """
b7181	w21396	o20046	lara croft: tomb raider	lara croft: tomb raider	lara croft: tomb raider	2001	2001	2001	[$115 million]	[$274.7 million]	$115 million	131168070	"""$274,703,340 """
b7186	w21405	o2585	larry crowne	larry crowne	larry crowne	2011	2011	2011	[$30 million]	[$72 million]	$30 million	35608245	"""$72,008,245 """
b7188	w21409	o3819	lars and the real girl	lars and the real girl	lars and the real girl	2007	2007	2007	[$12 million]	[$11.3 million]	$12 million	5972884	"""$11,293,663 """
b7193	w21427	o19088	last action hero	last action hero	last action hero	1993	1993	1993	[$85 million]	[$137.3 million]	$85 million	50016394	"""$137,298,489 """
b7221	w21618	o1135	last vegas	last vegas	last vegas	2013	2013	2013	[$28 million]	[$134.4 million]	$28 million	63914167	"""$134,402,450 """
b7281	w21778	o16624	leatherheads	leatherheads	leatherheads	2008	2008	2008	[$58 million]	"""[$41,299,492]"""	$58 million	31373938	"""$41,299,492 """
b7282	w21785		leave it to beaver	leave it to beaver 		1997	1997		[$15 million]	"""[$10,925,060]"""	$15 million	10925060	
b7292	w21795		left behind (2014)	left behind (2014 film)		2014	2014		[$16 million]	[$27.6 million]	$16 million	14019924	"""$19,682,924 """
b7296	w21809	o20047	legally blonde	legally blonde	legally blonde	2001	2001	2001	[$18 million]	[$141.8 million]	$18 million	96520674	"""$141,774,679 """
b7297	w21811	o9739	"""legally blonde 2: red, white and blonde"""	"""legally blonde 2: red, white & blonde"""	"""legally blonde 2: red, white & blonde"""	2003	2003	2003	[$45 million]	[$124.9 million]	$45 million	90186328	"""$124,914,842 """
b7300	w21841	o8058	legend of the guardians: the owls of ga'hoole	legend of the guardians: the owls of ga'hoole	legend of the guardians: the owls of ga'hoole	2010	2010	2010	[$80 million]	[$140.1 million]	$80 million	55675313	"""$140,073,390 """
b7304	w21852	o1136	legends of oz: dorothy's return	legends of oz: dorothy's return	legends of oz: dorothy's return	2014	2013	2013	[$70 million]	[$18.7 million]	$70 million	8462027	"""$18,662,027 """
b7306	w21856		legion (2010)	legion (2010 film)		2010	2010		[$26 million]	[$67.9 million]	$26 million	40168080	"""$67,918,658 """
b7346	w21943		let me in	let me in 		2010	2010		[$20 million]	[$24.1 million]	$20 million	12134935	"""$24,145,613 """
b7352	w21951	o10025	let's be cops	let's be cops	let's be cops	2014	2014	2014	[$17 million]	[$138.2 million]	$17 million	82390774	"""$138,224,951 """
b7361	w21994	o13564	lethal weapon 4	lethal weapon 4	lethal weapon 4	1998	1998	1998	[$100â150 million]	[$285.4 million]	$140 million	130444603	"""$285,444,603 """
b7363	w22009	o20383	letters from iwo jima	letters from iwo jima	letters from iwo jima	2006	2006	2006	[$19 million]	[$68.7 million]	$19 million	13756082	"""$68,673,228 """
b7365	w22011	o8062	letters to juliet	letters to juliet	letters to juliet	2010	2010	2010	[$30 million]	[$80 million]	$30 million	53032453	"""$79,181,750 """
b7389	w22065		life (2017)	life (2017 film)		2017	2017		[$58 million]	[$68.6 million]	$58 million	28813586	"""$68,713,586 """
b7398	w22142	o13774	life stinks	life stinks	life stinks	1991	1991	1991	[$13 million]	[$4.1 million]	$13 million	4102526	
b7400	w22087		life as we know it	life as we know it 		2010	2010		[$38 million]	"""[$105,648,706]"""	$38 million	53374681	"""$105,648,706 """
b7401	w22086	o20049	life as a house	life as a house	life as a house	2001	2001	2001	[$27 million]	"""[$23,903,791]"""	$27 million	15667270	"""$23,903,791 """
b7406	w22128		life of pi	life of pi 		2012	2012		[$120 million]	[$609 million]	$120 million	124987023	"""$609,016,565 """
b7418	w22189	o7519	light sleeper	light sleeper	light sleeper	1992	1992	1992	"""[$5,000,000]"""	"""[$1,050,861]"""	$5 million	1050861	
b7430	w22232	o16284	like mike	like mike	like mike	2002	2002	2002	[$30 million]	[$62.3 million]	$30 million	51432760	"""$62,274,780 """
b7446	w22269		limitless	limitless 		2011	2011		[$27 million]	[$161.8 million]	$27 million	79249455	"""$161,849,455 """
b7447	w22271		lincoln	lincoln 		2012	2012		[$65 million]	[$275.3 million]	$65 million	182207973	"""$275,293,450 """
b7454	w22314	o3826	lions for lambs	lions for lambs	lions for lambs	2007	2007	2007	[$35 million]	[$63.2 million]	$35 million	15002854	"""$63,215,872 """
b7468	w22351	o22057	little black book	little black book	little black book	2004	2004	2004	[$35 million]	[$22 million]	$35 million	20698668	"""$22,034,832 """
b7473	w22364		little children	little children 		2006	2006		[$26 million]	[$14.8 million]	$26 million	5463019	"""$14,821,658 """
b7478	w22382	o8063	little fockers	little fockers	little fockers	2010	2010	2010	[$100 million]	[$310.7 million]	$100 million	148438600	"""$310,650,585 """
b7489	w22445	o20388	little miss sunshine	little miss sunshine	little miss sunshine	2006	2006	2006	[$8 million]	[$100.5 million]	$8 million	59891098	"""$100,523,181 """
b7492	w22457	o10654	little nicky	little nicky	little nicky	2000	2000	2000	[$85 million]	[$58.3 million]	$85 million	39464775	"""$58,292,295 """
b7501	w22531		little women (1994)	little women (1994 film)		1994	1994		[$15 million]	"""[$50,083,616]"""	$18 million	50083616	
b7510	w22547	o3827	live free or die hard	live free or die hard	live free or die hard	2007	2007	2007	[$110 million]	[$383.5 million]	$110 million	134529403	"""$383,531,464 """
b7537	w22630		logan	logan 		2017	2017		[$97 million]	[$603.6 million]	$97 million	222264407	"""$602,125,791 """
b7549	w22653	o5405	london has fallen	london has fallen	london has fallen	2016	2016	2016	[$60 million]	[$205.8 million]	$60 million	62524260	"""$205,754,447 """
b7555	w22680	o1143	lone survivor	lone survivor	lone survivor	2013	2013	2013	[$40 million]	[$154.8 million]	$40 million	125095601	"""$154,802,912 """
b7573	w22803		lookin' to get out	lookin' to get out		1982	1982		"""[$17,000,000 (estimate)]"""	"""[$946,461]"""	$17 million	946461	
b7584	w22819	o9742	looney tunes: back in action	looney tunes: back in action	looney tunes: back in action	2003	2003	2003	[$80 million]	[$68.5 million]	$80 million	20991364	"""$68,514,844 """
b7585	w22821		looper	looper 		2012	2012		[$30 million]	[$176.5 million]	$30 million	66486205	"""$176,506,819 """
b7590	w22851	o18319	lord of war	lord of war	lord of war	2005	16-Sep	2005	[$50 million]	[$72.6 million]	$50 million	24149632	"""$72,617,068 """
b7591	w22853	o18320	lords of dogtown	lords of dogtown	lords of dogtown	2005	2005	2005	[$25 million]	[$13.4 million]	$25 million	11273517	"""$13,411,957 """
b7612	w22948		lost souls	lost souls 		2000	2000		[$50 million]	"""[$31,355,910]"""	$50 million	16815253	"""$31,355,910 """
b7622	w22918		lost in space	lost in space 		1998	1998		[$80 million]	[$136.2 million]	$80 million	69117629	"""$136,159,423 """
b7624	w22926		lost in translation	lost in translation 		2003	2003		[$4 million]	[$119.7 million]	$4 million	44585453	"""$119,723,856 """
b7626	w22972		lottery ticket	lottery ticket (2010 film)		2010	2010		[$17 million]	[$24.7 million]	$17 million	24719879	
b7634	w23008	o10657	love &amp; basketball	love & basketball	love & basketball	2000	2000	2000	[$20 million]	"""[$27,728,118]"""	$20 million	27459615	"""$27,728,118 """
b7653	w23078	o18760	love happens	love happens	love happens	2009	2009	2009	[$18 million]	[$36.1 million]	$18 million	22965110	"""$36,088,028 """
b7668	w23159	o8069	love ranch	love ranch	love ranch	2010	2010	2010	[$25 million]	"""[$137,885]"""	$25 million	137885	
b7676	w23012	o10491	love and death	love and death	love and death	1975	1975	1975	[$3 million]	"""[$20,123,742]"""	$3 million	20123742	
b7684	w23025	o8068	love and other drugs	love & other drugs	love & other drugs	2010	2010	2010	[$30 million]	[$102.8 million]	$30 million	32367005	"""$102,820,008 """
b7699	w23175	o8925	love the coopers	love the coopers	love the coopers	2015	2015	2015	[$24 million (gross)]	[$42.4 million]	$17 million	26302731	"""$42,426,912 """
b7741	w23326	o10659	lucky numbers	lucky numbers	lucky numbers	2000	2000	2000	[$63 million]	"""[$10,890,222]"""	$63 million	10042516	"""$10,890,222 """
