omdb_movie_id,genres,cluster
788,Comedy,5
789,Short|Comedy,3
790,Drama,2
791,Comedy,5
792,Drama,2
793,Short|Comedy,3
794,Comedy,5
795,Drama,2
796,Comedy|Short,3
797,Drama,2
798,Drama,2
799,Drama|Romance,2
800,Western,1
801,Drama|Romance,2
802,Drama|Romance,2
803,Comedy,5
804,Romance|Comedy,5
805,Romance|Comedy,5
806,Comedy|Romance,5
807,Drama,2
808,Comedy,5
809,Short|Family|Comedy,3
810,Drama,2
811,Comedy|Romance,5
812,Adventure|Crime|Action,0
813,N/A,0
814,Drama|Crime,2
815,Comedy|Short,3
816,Comedy|Romance,5
817,Drama,2
818,Romance|Comedy,5
819,Comedy|Romance,5
820,Short|Comedy|Family,3
821,Drama,2
822,Short|Comedy|Family,3
823,N/A,0
824,Drama|Romance|Crime,2
825,Drama,2
826,Crime|Romance|Comedy,5
827,N/A,0
828,Adventure,0
829,Short|Comedy,3
830,Drama,2
831,N/A,0
832,Drama|Comedy,2
833,Comedy,5
834,Western,1
835,Drama,2
836,Adventure|Drama|Action,0
837,Drama,2
838,Comedy,5
839,Romance|Drama,2
840,Western,1
841,Drama,2
842,Romance|Comedy,5
843,Comedy|Short,3
844,Short|Comedy|Family,3
845,Short|Comedy,3
846,Western,1
847,Drama,2
848,Drama,2
849,Short|Comedy,3
850,Drama,2
851,Western,1
852,Drama,2
853,Short|Comedy,3
854,Comedy,5
855,Romance|Action|Adventure,0
856,Adventure,0
857,Western,1
858,Western|Comedy,1
859,Comedy|Romance,5
860,War|Drama|Romance,2
861,Sport|Western|Romance,1
862,Adventure|Romance,0
863,Drama|Action,2
864,Drama,2
865,Romance,0
866,Drama,2
867,Drama,2
868,Drama,2
869,Drama|Romance|Comedy,2
870,Comedy|Short,3
871,Western,1
872,Drama,2
873,Adventure|Comedy|Drama,2
874,Drama,2
875,Western,1
876,Comedy,5
877,Drama,2
878,Adventure|Action,0
879,Drama,2
880,Short|Comedy,3
881,Drama,2
882,Drama,2
883,Western,1
884,Short|Comedy,3
885,Comedy|Romance,5
886,Drama,2
887,N/A,0
888,Drama,2
889,Romance|Drama,2
890,Comedy|Drama,2
891,Romance|Action|Comedy,5
892,Drama|Thriller|Short,2
893,Drama,2
894,Western,1
895,Drama,2
896,Drama|Romance,2
897,Drama|Romance,2
898,Drama,2
899,Drama|Romance,2
900,Drama,2
901,Comedy,5
902,Drama,2
903,Comedy,5
904,Drama|Romance,2
905,Comedy,5
906,Western,1
907,Western,1
908,Drama|Comedy,2
909,Drama,2
910,Fantasy|Romance|Drama,2
911,Western,1
912,Drama,2
913,History|Romance|Drama,2
914,Drama,2
915,Comedy|Short,3
916,Drama|Western,1
917,Drama|Romance,2
918,Crime|Drama,2
919,N/A,0
920,Western,1
921,Drama|Romance|Comedy,2
922,Western,1
923,Drama,2
924,Drama,2
925,Western,1
926,Comedy,5
927,Drama,2
928,Drama,2
929,Western,1
930,Drama|Thriller,2
931,Drama,2
932,Short|Comedy,3
933,Comedy,5
934,Drama,2
935,Drama|Comedy,2
936,Comedy|Drama|Adventure,2
937,Drama|Family,2
938,Comedy,5
939,Drama,2
940,Comedy,5
941,Drama|Romance,2
942,Drama,2
943,Comedy,5
944,Drama,2
945,Short|Comedy,3
946,Comedy|Romance,5
947,Adventure|Drama,2
948,Adventure|Comedy|Romance,5
949,Comedy|Family|Short,3
950,Family|Short|Comedy,3
951,Drama,2
952,Comedy|Romance,5
953,Thriller|Action|Adventure,0
954,Horror,6
955,Action|Comedy|Crime,5
956,Documentary|Music,4
957,Thriller|Crime|Drama,2
958,Comedy,5
959,Comedy,5
960,Documentary,4
961,Romance|Drama,2
962,Documentary,4
963,War|Comedy|Drama,2
964,Action|Thriller,0
965,Comedy|Fantasy,5
966,Drama,2
967,Drama,2
968,Crime|Drama|Thriller,2
969,Family,0
970,Romance|Drama,2
971,Adventure|Sport|Documentary,4
972,Comedy,5
973,Sci-Fi|Action|Adventure,0
974,Family|Comedy,5
975,Drama|Comedy,2
976,Sci-Fi|Action|Adventure,0
977,Biography|Drama|Documentary,4
978,History|Drama|Fantasy,2
979,Romance|Crime|Drama,2
980,Drama,2
981,News|Documentary|Crime,4
982,Fantasy|Horror,6
983,Drama|Action|Adventure,0
984,History,0
985,Family|Action|Comedy,5
986,Romance|Comedy|Music,5
987,Horror|Sci-Fi|Action,6
988,Drama|Thriller,2
989,Drama|Crime,2
990,Comedy,5
991,Documentary|Biography,4
992,Documentary|Short,4
993,Comedy,5
994,Family|Comedy|Drama,2
995,Drama|Romance|Crime,2
996,Comedy|Drama,2
997,Comedy|Adventure,5
